# 文字コード表(Unicode UTF-8 UTF-16) [7000/21420]
# http://pentan.info/doc/unicode_list.html
# UTF8	UTF16	S-JIS	EUC-JP	JIS	文字	実体参照
C2A7	A7	8198	A1F8	2178	§	 &#167;
E5A39B	58DB				壛	 &#22747;
E5A39C	58DC	9ADE	D4E0	5460	壜	 &#22748;
E5A39D	58DD		8FB8DA	44385A	壝	 &#22749;
E5A39E	58DE	9AD3	D4D5	5455	壞	 &#22750;
E5A39F	58DF	9AE0	D4E2	5462	壟	 &#22751;
E5A3A0	58E0				壠	 &#22752;
E5A3A1	58E1		8FB8DB	44385B	壡	 &#22753;
E5A3A2	58E2		8FB8DC	44385C	壢	 &#22754;
E5A3A3	58E3				壣	 &#22755;
E5A3A4	58E4	9ADF	D4E1	5461	壤	 &#22756;
E5A3A5	58E5	9ADD	D4DF	545F	壥	 &#22757;
E5A3A6	58E6				壦	 &#22758;
E5A3A7	58E7				壧	 &#22759;
E5A3A8	58E8				壨	 &#22760;
E5A3A9	58E9		8FB8DD	44385D	壩	 &#22761;
E5A3AA	58EA				壪	 &#22762;
E5A3AB	58EB	8E6D	BBCE	3B4E	士	 &#22763;
E5A3AC	58EC	9070	BFD1	3F51	壬	 &#22764;
E5A3AD	58ED				壭	 &#22765;
E5A3AE	58EE	9173	C1D4	4154	壮	 &#22766;
E5A3AF	58EF	9AE1	D4E3	5463	壯	 &#22767;
E5A3B0	58F0	90BA	C0BC	403C	声	 &#22768;
E5A3B1	58F1	88EB	B0ED	306D	壱	 &#22769;
E5A3B2	58F2	9484	C7E4	4764	売	 &#22770;
E5A3B3	58F3		8FB8DE	44385E	壳	 &#22771;
E5A3B4	58F4				壴	 &#22772;
E5A3B5	58F5				壵	 &#22773;
E5A3B6	58F6				壶	 &#22774;
E5A3B7	58F7	92D9	C4DB	445B	壷	 &#22775;
E5A3B8	58F8				壸	 &#22776;
E5A3B9	58F9	9AE3	D4E5	5465	壹	 &#22777;
E5A3BA	58FA	9AE2	D4E4	5464	壺	 &#22778;
E5A3BB	58FB	9AE4	D4E6	5466	壻	 &#22779;
E5A3BC	58FC	9AE5	D4E7	5467	壼	 &#22780;
E5A3BD	58FD	9AE6	D4E8	5468	壽	 &#22781;
E5A3BE	58FE				壾	 &#22782;
E5A3BF	58FF				壿	 &#22783;
E5A480	5900				夀	 &#22784;
E5A481	5901				夁	 &#22785;
E5A482	5902	9AE7	D4E9	5469	夂	 &#22786;
E5A483	5903				夃	 &#22787;
E5A484	5904				处	 &#22788;
E5A485	5905		8FB8DF	44385F	夅	 &#22789;
E5A486	5906		8FB8E0	443860	夆	 &#22790;
E5A487	5907				备	 &#22791;
E5A488	5908				夈	 &#22792;
E5A489	5909	95CF	CAD1	4A51	変	 &#22793;
E5A48A	590A	9AE8	D4EA	546A	夊	 &#22794;
E5A48B	590B	FA9F	F9E3	443861	夋	 &#22795;
E5A48C	590C		8FB8E2	443862	夌	 &#22796;
E5A48D	590D				复	 &#22797;
E5A48E	590E				夎	 &#22798;
E5A48F	590F	89C4	B2C6	3246	夏	 &#22799;
E5A490	5910	9AE9	D4EB	546B	夐	 &#22800;
E5A491	5911				夑	 &#22801;
E5A492	5912		8FB8E3	443863	夒	 &#22802;
E5A493	5913		8FB8E4	443864	夓	 &#22803;
E5A494	5914		8FB8E5	443865	夔	 &#22804;
E5A495	5915	975B	CDBC	4D3C	夕	 &#22805;
E5A496	5916	8A4F	B3B0	3330	外	 &#22806;
E5A497	5917				夗	 &#22807;
E5A498	5918	99C7	D2C9	5249	夘	 &#22808;
E5A499	5919	8F67	BDC8	3D48	夙	 &#22809;
E5A49A	591A	91BD	C2BF	423F	多	 &#22810;
E5A49B	591B	9AEA	D4EC	546C	夛	 &#22811;
E5A49C	591C	96E9	CCEB	4C6B	夜	 &#22812;
E5A49D	591D		8FB8E7	443867	夝	 &#22813;
E5A49E	591E				夞	 &#22814;
E5A49F	591F				够	 &#22815;
E5A4A0	5920				夠	 &#22816;
E5A4A1	5921		8FB8E8	443868	夡	 &#22817;
E5A4A2	5922	96B2	CCB4	4C34	夢	 &#22818;
E5A4A3	5923		8FB8E9	443869	夣	 &#22819;
E5A4A4	5924		8FB8EA	44386A	夤	 &#22820;
E5A4A5	5925	9AEC	D4EE	546E	夥	 &#22821;
E5A4A6	5926				夦	 &#22822;
E5A4A7	5927	91E5	C2E7	4267	大	 &#22823;
E5A4A8	5928		8FB8EB	44386B	夨	 &#22824;
E5A4A9	5929	9356	C5B7	4537	天	 &#22825;
E5A4AA	592A	91BE	C2C0	4240	太	 &#22826;
E5A4AB	592B	9576	C9D7	4957	夫	 &#22827;
E5A4AC	592C	9AED	D4EF	546F	夬	 &#22828;
E5A4AD	592D	9AEE	D4F0	5470	夭	 &#22829;
E5A4AE	592E	899B	B1FB	317B	央	 &#22830;
E5A4AF	592F		8FB8EC	44386C	夯	 &#22831;
E5A4B0	5930		8FB8ED	44386D	夰	 &#22832;
E5A4B1	5931	8EB8	BCBA	3C3A	失	 &#22833;
E5A4B2	5932	9AEF	D4F1	5471	夲	 &#22834;
E5A4B3	5933		8FB8EE	44386E	夳	 &#22835;
E5A4B4	5934				头	 &#22836;
E5A4B5	5935		8FB8EF	44386F	夵	 &#22837;
E5A4B6	5936		8FB8F0	443870	夶	 &#22838;
E5A4B7	5937	88CE	B0D0	3050	夷	 &#22839;
E5A4B8	5938	9AF0	D4F2	5472	夸	 &#22840;
E5A4B9	5939				夹	 &#22841;
E5A4BA	593A				夺	 &#22842;
E5A4BB	593B				夻	 &#22843;
E5A4BC	593C				夼	 &#22844;
E5A4BD	593D				夽	 &#22845;
E5A4BE	593E	9AF1	D4F3	5473	夾	 &#22846;
E5A4BF	593F		8FB8F1	443871	夿	 &#22847;
E5A580	5940				奀	 &#22848;
E5A581	5941				奁	 &#22849;
E5A582	5942				奂	 &#22850;
E5A583	5943		8FB8F2	443872	奃	 &#22851;
E5A584	5944	8982	B1E2	3162	奄	 &#22852;
E5A585	5945				奅	 &#22853;
E5A586	5946		8FB8F3	443873	奆	 &#22854;
E5A587	5947	8AEF	B4F1	3471	奇	 &#22855;
E5A588	5948	93DE	C6E0	4660	奈	 &#22856;
E5A589	5949	95F2	CAF4	4A74	奉	 &#22857;
E5A58A	594A				奊	 &#22858;
E5A58B	594B				奋	 &#22859;
E5A58C	594C				奌	 &#22860;
E5A58D	594D				奍	 &#22861;
E5A58E	594E	9AF5	D4F7	5477	奎	 &#22862;
E5A58F	594F	9174	C1D5	4155	奏	 &#22863;
E5A590	5950	9AF4	D4F6	5476	奐	 &#22864;
E5A591	5951	8C5F	B7C0	3740	契	 &#22865;
E5A592	5952		8FB8F4	443874	奒	 &#22866;
E5A593	5953	FAA0	F9E4	443875	奓	 &#22867;
E5A594	5954	967A	CBDB	4B5B	奔	 &#22868;
E5A595	5955	9AF3	D4F5	5475	奕	 &#22869;
E5A596	5956				奖	 &#22870;
E5A597	5957	9385	C5E5	4565	套	 &#22871;
E5A598	5958	9AF7	D4F9	5479	奘	 &#22872;
E5A599	5959		8FB8F6	443876	奙	 &#22873;
E5A59A	595A	9AF6	D4F8	5478	奚	 &#22874;
E5A59B	595B	FAA1	F9E5	443877	奛	 &#22875;
E5A59C	595C				奜	 &#22876;
E5A59D	595D	FAA2	F9E6	443878	奝	 &#22877;
E5A59E	595E		8FB8F9	443879	奞	 &#22878;
E5A59F	595F		8FB8FA	44387A	奟	 &#22879;
E5A5A0	5960	9AF9	D4FB	547B	奠	 &#22880;
E5A5A1	5961		8FB8FB	44387B	奡	 &#22881;
E5A5A2	5962	9AF8	D4FA	547A	奢	 &#22882;
E5A5A3	5963	FAA3	F9E7	44387C	奣	 &#22883;
E5A5A4	5964				奤	 &#22884;
E5A5A5	5965	899C	B1FC	317C	奥	 &#22885;
E5A5A6	5966				奦	 &#22886;
E5A5A7	5967	9AFA	D4FC	547C	奧	 &#22887;
E5A5A8	5968	8FA7	BEA9	3E29	奨	 &#22888;
E5A5A9	5969	9AFC	D4FE	547E	奩	 &#22889;
E5A5AA	596A	9244	C3A5	4325	奪	 &#22890;
E5A5AB	596B		8FB8FD	44387D	奫	 &#22891;
E5A5AC	596C	9AFB	D4FD	547D	奬	 &#22892;
E5A5AD	596D		8FB8FE	44387E	奭	 &#22893;
E5A5AE	596E	95B1	CAB3	4A33	奮	 &#22894;
E5A5AF	596F		8FB9A1	443921	奯	 &#22895;
E5A5B0	5970				奰	 &#22896;
E5A5B1	5971				奱	 &#22897;
E5A5B2	5972		8FB9A2	443922	奲	 &#22898;
E5A5B3	5973	8F97	BDF7	3D77	女	 &#22899;
E5A5B4	5974	937A	C5DB	455B	奴	 &#22900;
E5A5B5	5975		8FB9A3	443923	奵	 &#22901;
E5A5B6	5976		8FB9A4	443924	奶	 &#22902;
E5A5B7	5977				奷	 &#22903;
E5A5B8	5978	9B40	D5A1	5521	奸	 &#22904;
E5A5B9	5979		8FB9A5	443925	她	 &#22905;
E5A5BA	597A				奺	 &#22906;
E5A5BB	597B		8FB9A6	443926	奻	 &#22907;
E5A5BC	597C		8FB9A7	443927	奼	 &#22908;
E5A5BD	597D	8D44	B9A5	3925	好	 &#22909;
E5A5BE	597E				奾	 &#22910;
E5A5BF	597F				奿	 &#22911;
E5A680	5980				妀	 &#22912;
E5A681	5981	9B41	D5A2	5522	妁	 &#22913;
E5A682	5982	9440	C7A1	4721	如	 &#22914;
E5A683	5983	94DC	C8DE	485E	妃	 &#22915;
E5A684	5984	96CF	CCD1	4C51	妄	 &#22916;
E5A685	5985				妅	 &#22917;
E5A686	5986				妆	 &#22918;
E5A687	5987				妇	 &#22919;
E5A688	5988				妈	 &#22920;
E5A689	5989				妉	 &#22921;
E5A68A	598A	9444	C7A5	4725	妊	 &#22922;
E5A68B	598B		8FB9A8	443928	妋	 &#22923;
E5A68C	598C		8FB9A9	443929	妌	 &#22924;
E5A68D	598D	9B4A	D5AB	552B	妍	 &#22925;
E5A68E	598E		8FB9AA	44392A	妎	 &#22926;
E5A68F	598F				妏	 &#22927;
E5A690	5990				妐	 &#22928;
E5A691	5991				妑	 &#22929;
E5A692	5992		8FB9AB	44392B	妒	 &#22930;
E5A693	5993	8B57	B5B8	3538	妓	 &#22931;
E5A694	5994				妔	 &#22932;
E5A695	5995		8FB9AC	44392C	妕	 &#22933;
E5A696	5996	9764	CDC5	4D45	妖	 &#22934;
E5A697	5997		8FB9AD	44392D	妗	 &#22935;
E5A698	5998				妘	 &#22936;
E5A699	5999	96AD	CCAF	4C2F	妙	 &#22937;
E5A69A	599A				妚	 &#22938;
E5A69B	599B	9BAA	D6AC	562C	妛	 &#22939;
E5A69C	599C				妜	 &#22940;
E5A69D	599D	9B42	D5A3	5523	妝	 &#22941;
E5A69E	599E				妞	 &#22942;
E5A69F	599F		8FB9AE	44392E	妟	 &#22943;
E5A6A0	59A0				妠	 &#22944;
E5A6A1	59A1				妡	 &#22945;
E5A6A2	59A2				妢	 &#22946;
E5A6A3	59A3	9B45	D5A6	5526	妣	 &#22947;
E5A6A4	59A4	FAA4	F9E8	44392F	妤	 &#22948;
E5A6A5	59A5	91C3	C2C5	4245	妥	 &#22949;
E5A6A6	59A6				妦	 &#22950;
E5A6A7	59A7		8FB9B0	443930	妧	 &#22951;
E5A6A8	59A8	9657	CBB8	4B38	妨	 &#22952;
E5A6A9	59A9				妩	 &#22953;
E5A6AA	59AA				妪	 &#22954;
E5A6AB	59AB				妫	 &#22955;
E5A6AC	59AC	9369	C5CA	454A	妬	 &#22956;
E5A6AD	59AD		8FB9B1	443931	妭	 &#22957;
E5A6AE	59AE		8FB9B2	443932	妮	 &#22958;
E5A6AF	59AF		8FB9B3	443933	妯	 &#22959;
E5A6B0	59B0		8FB9B4	443934	妰	 &#22960;
E5A6B1	59B1				妱	 &#22961;
E5A6B2	59B2	9B46	D5A7	5527	妲	 &#22962;
E5A6B3	59B3		8FB9B5	443935	妳	 &#22963;
E5A6B4	59B4				妴	 &#22964;
E5A6B5	59B5				妵	 &#22965;
E5A6B6	59B6				妶	 &#22966;
E5A6B7	59B7		8FB9B6	443936	妷	 &#22967;
E5A6B8	59B8				妸	 &#22968;
E5A6B9	59B9	9685	CBE5	4B65	妹	 &#22969;
E5A6BA	59BA	FAA5	F9E9	443937	妺	 &#22970;
E5A6BB	59BB	8DC8	BACA	3A4A	妻	 &#22971;
E5A6BC	59BC		8FB9B8	443938	妼	 &#22972;
E5A6BD	59BD				妽	 &#22973;
E5A6BE	59BE	8FA8	BEAA	3E2A	妾	 &#22974;
E5A6BF	59BF				妿	 &#22975;
E5A780	59C0				姀	 &#22976;
E5A781	59C1		8FB9B9	443939	姁	 &#22977;
E5A782	59C2				姂	 &#22978;
E5A783	59C3		8FB9BA	44393A	姃	 &#22979;
E5A784	59C4		8FB9BB	44393B	姄	 &#22980;
E5A785	59C5				姅	 &#22981;
E5A786	59C6	9B47	D5A8	5528	姆	 &#22982;
E5A787	59C7				姇	 &#22983;
E5A788	59C8		8FB9BC	44393C	姈	 &#22984;
E5A789	59C9	8E6F	BBD0	3B50	姉	 &#22985;
E5A78A	59CA		8FB9BD	44393D	姊	 &#22986;
E5A78B	59CB	8E6E	BBCF	3B4F	始	 &#22987;
E5A78C	59CC				姌	 &#22988;
E5A78D	59CD		8FB9BE	44393E	姍	 &#22989;
E5A78E	59CE				姎	 &#22990;
E5A78F	59CF				姏	 &#22991;
E5A790	59D0	88B7	B0B9	3039	姐	 &#22992;
E5A791	59D1	8CC6	B8C8	3848	姑	 &#22993;
E5A792	59D2		8FB9BF	44393F	姒	 &#22994;
E5A793	59D3	90A9	C0AB	402B	姓	 &#22995;
E5A794	59D4	88CF	B0D1	3051	委	 &#22996;
E5A795	59D5				姕	 &#22997;
E5A796	59D6				姖	 &#22998;
E5A797	59D7				姗	 &#22999;
E5A798	59D8				姘	 &#23000;
E5A799	59D9	9B4B	D5AC	552C	姙	 &#23001;
E5A79A	59DA	9B4C	D5AD	552D	姚	 &#23002;
E5A79B	59DB				姛	 &#23003;
E5A79C	59DC	9B49	D5AA	552A	姜	 &#23004;
E5A79D	59DD		8FB9C0	443940	姝	 &#23005;
E5A79E	59DE		8FB9C1	443941	姞	 &#23006;
E5A79F	59DF		8FB9C2	443942	姟	 &#23007;
E5A7A0	59E0				姠	 &#23008;
E5A7A1	59E1				姡	 &#23009;
E5A7A2	59E2				姢	 &#23010;
E5A7A3	59E3		8FB9C3	443943	姣	 &#23011;
E5A7A4	59E4		8FB9C4	443944	姤	 &#23012;
E5A7A5	59E5	8957	B1B8	3138	姥	 &#23013;
E5A7A6	59E6	8AAD	B4AF	342F	姦	 &#23014;
E5A7A7	59E7		8FB9C5	443945	姧	 &#23015;
E5A7A8	59E8	9B48	D5A9	5529	姨	 &#23016;
E5A7A9	59E9				姩	 &#23017;
E5A7AA	59EA	96C3	CCC5	4C45	姪	 &#23018;
E5A7AB	59EB	9550	C9B1	4931	姫	 &#23019;
E5A7AC	59EC				姬	 &#23020;
E5A7AD	59ED				姭	 &#23021;
E5A7AE	59EE		8FB9C6	443946	姮	 &#23022;
E5A7AF	59EF		8FB9C7	443947	姯	 &#23023;
E5A7B0	59F0				姰	 &#23024;
E5A7B1	59F1		8FB9C8	443948	姱	 &#23025;
E5A7B2	59F2		8FB9C9	443949	姲	 &#23026;
E5A7B3	59F3				姳	 &#23027;
E5A7B4	59F4		8FB9CA	44394A	姴	 &#23028;
E5A7B5	59F5				姵	 &#23029;
E5A7B6	59F6	88A6	B0A8	3028	姶	 &#23030;
E5A7B7	59F7		8FB9CB	44394B	姷	 &#23031;
E5A7B8	59F8				姸	 &#23032;
E5A7B9	59F9				姹	 &#23033;
E5A7BA	59FA				姺	 &#23034;
E5A7BB	59FB	88F7	B0F9	3079	姻	 &#23035;
E5A7BC	59FC				姼	 &#23036;
E5A7BD	59FD				姽	 &#23037;
E5A7BE	59FE				姾	 &#23038;
E5A7BF	59FF	8E70	BBD1	3B51	姿	 &#23039;
E5A880	5A00		8FB9CC	44394C	娀	 &#23040;
E5A881	5A01	88D0	B0D2	3052	威	 &#23041;
E5A882	5A02				娂	 &#23042;
E5A883	5A03	88A1	B0A3	3023	娃	 &#23043;
E5A884	5A04		8FB9CD	44394D	娄	 &#23044;
E5A885	5A05				娅	 &#23045;
E5A886	5A06				娆	 &#23046;
E5A887	5A07				娇	 &#23047;
E5A888	5A08				娈	 &#23048;
E5A889	5A09	9B51	D5B2	5532	娉	 &#23049;
E5A88A	5A0A				娊	 &#23050;
E5A88B	5A0B				娋	 &#23051;
E5A88C	5A0C		8FB9CE	44394E	娌	 &#23052;
E5A88D	5A0D		8FB9CF	44394F	娍	 &#23053;
E5A88E	5A0E		8FB9D0	443950	娎	 &#23054;
E5A88F	5A0F				娏	 &#23055;
E5A890	5A10				娐	 &#23056;
E5A891	5A11	9B4F	D5B0	5530	娑	 &#23057;
E5A892	5A12		8FB9D1	443951	娒	 &#23058;
E5A893	5A13		8FB9D2	443952	娓	 &#23059;
E5A894	5A14				娔	 &#23060;
E5A895	5A15				娕	 &#23061;
E5A896	5A16				娖	 &#23062;
E5A897	5A17				娗	 &#23063;
E5A898	5A18	96BA	CCBC	4C3C	娘	 &#23064;
E5A899	5A19				娙	 &#23065;
E5A89A	5A1A	9B52	D5B3	5533	娚	 &#23066;
E5A89B	5A1B				娛	 &#23067;
E5A89C	5A1C	9B50	D5B1	5531	娜	 &#23068;
E5A89D	5A1D				娝	 &#23069;
E5A89E	5A1E		8FB9D3	443953	娞	 &#23070;
E5A89F	5A1F	9B4E	D5AF	552F	娟	 &#23071;
E5A8A0	5A20	9050	BFB1	3F31	娠	 &#23072;
E5A8A1	5A21				娡	 &#23073;
E5A8A2	5A22				娢	 &#23074;
E5A8A3	5A23		8FB9D4	443954	娣	 &#23075;
E5A8A4	5A24		8FB9D5	443955	娤	 &#23076;
E5A8A5	5A25	9B4D	D5AE	552E	娥	 &#23077;
E5A8A6	5A26				娦	 &#23078;
E5A8A7	5A27		8FB9D6	443956	娧	 &#23079;
E5A8A8	5A28		8FB9D7	443957	娨	 &#23080;
E5A8A9	5A29	95D8	CADA	4A5A	娩	 &#23081;
E5A8AA	5A2A		8FB9D8	443958	娪	 &#23082;
E5A8AB	5A2B				娫	 &#23083;
E5A8AC	5A2C				娬	 &#23084;
E5A8AD	5A2D		8FB9D9	443959	娭	 &#23085;
E5A8AE	5A2E				娮	 &#23086;
E5A8AF	5A2F	8CE2	B8E4	3864	娯	 &#23087;
E5A8B0	5A30		8FB9DA	44395A	娰	 &#23088;
E5A8B1	5A31				娱	 &#23089;
E5A8B2	5A32				娲	 &#23090;
E5A8B3	5A33				娳	 &#23091;
E5A8B4	5A34				娴	 &#23092;
E5A8B5	5A35	9B56	D5B7	5537	娵	 &#23093;
E5A8B6	5A36	9B57	D5B8	5538	娶	 &#23094;
E5A8B7	5A37				娷	 &#23095;
E5A8B8	5A38				娸	 &#23096;
E5A8B9	5A39				娹	 &#23097;
E5A8BA	5A3A				娺	 &#23098;
E5A8BB	5A3B				娻	 &#23099;
E5A8BC	5A3C	8FA9	BEAB	3E2B	娼	 &#23100;
E5A8BD	5A3D				娽	 &#23101;
E5A8BE	5A3E				娾	 &#23102;
E5A8BF	5A3F				娿	 &#23103;
E5A980	5A40	9B53	D5B4	5534	婀	 &#23104;
E5A981	5A41	984B	CFAC	4F2C	婁	 &#23105;
E5A982	5A42				婂	 &#23106;
E5A983	5A43				婃	 &#23107;
E5A984	5A44		8FB9DB	44395B	婄	 &#23108;
E5A985	5A45		8FB9DC	44395C	婅	 &#23109;
E5A986	5A46	946B	C7CC	474C	婆	 &#23110;
E5A987	5A47		8FB9DD	44395D	婇	 &#23111;
E5A988	5A48		8FB9DE	44395E	婈	 &#23112;
E5A989	5A49	9B55	D5B6	5536	婉	 &#23113;
E5A98A	5A4A				婊	 &#23114;
E5A98B	5A4B				婋	 &#23115;
E5A98C	5A4C		8FB9DF	44395F	婌	 &#23116;
E5A98D	5A4D				婍	 &#23117;
E5A98E	5A4E				婎	 &#23118;
E5A98F	5A4F				婏	 &#23119;
E5A990	5A50		8FB9E0	443960	婐	 &#23120;
E5A991	5A51				婑	 &#23121;
E5A992	5A52				婒	 &#23122;
E5A993	5A53				婓	 &#23123;
E5A994	5A54				婔	 &#23124;
E5A995	5A55		8FB9E1	443961	婕	 &#23125;
E5A996	5A56				婖	 &#23126;
E5A997	5A57				婗	 &#23127;
E5A998	5A58				婘	 &#23128;
E5A999	5A59				婙	 &#23129;
E5A99A	5A5A	8DA5	BAA7	3A27	婚	 &#23130;
E5A99B	5A5B				婛	 &#23131;
E5A99C	5A5C				婜	 &#23132;
E5A99D	5A5D				婝	 &#23133;
E5A99E	5A5E		8FB9E2	443962	婞	 &#23134;
E5A99F	5A5F				婟	 &#23135;
E5A9A0	5A60				婠	 &#23136;
E5A9A1	5A61				婡	 &#23137;
E5A9A2	5A62	9B58	D5B9	5539	婢	 &#23138;
E5A9A3	5A63		8FB9E3	443963	婣	 &#23139;
E5A9A4	5A64				婤	 &#23140;
E5A9A5	5A65		8FB9E4	443964	婥	 &#23141;
E5A9A6	5A66	9577	C9D8	4958	婦	 &#23142;
E5A9A7	5A67		8FB9E5	443965	婧	 &#23143;
E5A9A8	5A68				婨	 &#23144;
E5A9A9	5A69				婩	 &#23145;
E5A9AA	5A6A	9B59	D5BA	553A	婪	 &#23146;
E5A9AB	5A6B				婫	 &#23147;
E5A9AC	5A6C	9B54	D5B5	5535	婬	 &#23148;
E5A9AD	5A6D		8FB9E6	443966	婭	 &#23149;
E5A9AE	5A6E				婮	 &#23150;
E5A9AF	5A6F				婯	 &#23151;
E5A9B0	5A70				婰	 &#23152;
E5A9B1	5A71				婱	 &#23153;
E5A9B2	5A72				婲	 &#23154;
E5A9B3	5A73				婳	 &#23155;
E5A9B4	5A74				婴	 &#23156;
E5A9B5	5A75				婵	 &#23157;
E5A9B6	5A76				婶	 &#23158;
E5A9B7	5A77		8FB9E7	443967	婷	 &#23159;
E5A9B8	5A78				婸	 &#23160;
E5A9B9	5A79				婹	 &#23161;
E5A9BA	5A7A		8FB9E8	443968	婺	 &#23162;
E5A9BB	5A7B		8FB9E9	443969	婻	 &#23163;
E5A9BC	5A7C				婼	 &#23164;
E5A9BD	5A7D				婽	 &#23165;
E5A9BE	5A7E		8FB9EA	44396A	婾	 &#23166;
E5A9BF	5A7F	96B9	CCBB	4C3B	婿	 &#23167;
E5AA80	5A80				媀	 &#23168;
E5AA81	5A81				媁	 &#23169;
E5AA82	5A82				媂	 &#23170;
E5AA83	5A83				媃	 &#23171;
E5AA84	5A84				媄	 &#23172;
E5AA85	5A85				媅	 &#23173;
E5AA86	5A86				媆	 &#23174;
E5AA87	5A87				媇	 &#23175;
E5AA88	5A88				媈	 &#23176;
E5AA89	5A89				媉	 &#23177;
E5AA8A	5A8A				媊	 &#23178;
E5AA8B	5A8B		8FB9EB	44396B	媋	 &#23179;
E5AA8C	5A8C				媌	 &#23180;
E5AA8D	5A8D				媍	 &#23181;
E5AA8E	5A8E				媎	 &#23182;
E5AA8F	5A8F				媏	 &#23183;
E5AA90	5A90		8FB9EC	44396C	媐	 &#23184;
E5AA91	5A91				媑	 &#23185;
E5AA92	5A92	947D	C7DE	475E	媒	 &#23186;
E5AA93	5A93		8FB9ED	44396D	媓	 &#23187;
E5AA94	5A94				媔	 &#23188;
E5AA95	5A95				媕	 &#23189;
E5AA96	5A96		8FB9EE	44396E	媖	 &#23190;
E5AA97	5A97				媗	 &#23191;
E5AA98	5A98				媘	 &#23192;
E5AA99	5A99		8FB9EF	44396F	媙	 &#23193;
E5AA9A	5A9A	9B5A	D5BB	553B	媚	 &#23194;
E5AA9B	5A9B	9551	C9B2	4932	媛	 &#23195;
E5AA9C	5A9C		8FB9F0	443970	媜	 &#23196;
E5AA9D	5A9D				媝	 &#23197;
E5AA9E	5A9E		8FB9F1	443971	媞	 &#23198;
E5AA9F	5A9F		8FB9F2	443972	媟	 &#23199;
E5AAA0	5AA0		8FB9F3	443973	媠	 &#23200;
E5AAA1	5AA1				媡	 &#23201;
E5AAA2	5AA2		8FB9F4	443974	媢	 &#23202;
E5AAA3	5AA3				媣	 &#23203;
E5AAA4	5AA4				媤	 &#23204;
E5AAA5	5AA5				媥	 &#23205;
E5AAA6	5AA6				媦	 &#23206;
E5AAA7	5AA7		8FB9F5	443975	媧	 &#23207;
E5AAA8	5AA8				媨	 &#23208;
E5AAA9	5AA9				媩	 &#23209;
E5AAAA	5AAA				媪	 &#23210;
E5AAAB	5AAB				媫	 &#23211;
E5AAAC	5AAC		8FB9F6	443976	媬	 &#23212;
E5AAAD	5AAD				媭	 &#23213;
E5AAAE	5AAE				媮	 &#23214;
E5AAAF	5AAF				媯	 &#23215;
E5AAB0	5AB0				媰	 &#23216;
E5AAB1	5AB1		8FB9F7	443977	媱	 &#23217;
E5AAB2	5AB2		8FB9F8	443978	媲	 &#23218;
E5AAB3	5AB3		8FB9F9	443979	媳	 &#23219;
E5AAB4	5AB4				媴	 &#23220;
E5AAB5	5AB5		8FB9FA	44397A	媵	 &#23221;
E5AAB6	5AB6				媶	 &#23222;
E5AAB7	5AB7				媷	 &#23223;
E5AAB8	5AB8		8FB9FB	44397B	媸	 &#23224;
E5AAB9	5AB9				媹	 &#23225;
E5AABA	5ABA		8FB9FC	44397C	媺	 &#23226;
E5AABB	5ABB		8FB9FD	44397D	媻	 &#23227;
E5AABC	5ABC	9B5B	D5BC	553C	媼	 &#23228;
E5AABD	5ABD	9B5F	D5C0	5540	媽	 &#23229;
E5AABE	5ABE	9B5C	D5BD	553D	媾	 &#23230;
E5AABF	5ABF		8FB9FE	44397E	媿	 &#23231;
E5AB80	5AC0				嫀	 &#23232;
E5AB81	5AC1	89C5	B2C7	3247	嫁	 &#23233;
E5AB82	5AC2	9B5E	D5BF	553F	嫂	 &#23234;
E5AB83	5AC3				嫃	 &#23235;
E5AB84	5AC4		8FBAA1	443A21	嫄	 &#23236;
E5AB85	5AC5				嫅	 &#23237;
E5AB86	5AC6		8FBAA2	443A22	嫆	 &#23238;
E5AB87	5AC7				嫇	 &#23239;
E5AB88	5AC8		8FBAA3	443A23	嫈	 &#23240;
E5AB89	5AC9	8EB9	BCBB	3C3B	嫉	 &#23241;
E5AB8A	5ACA				嫊	 &#23242;
E5AB8B	5ACB	9B5D	D5BE	553E	嫋	 &#23243;
E5AB8C	5ACC	8C99	B7F9	3779	嫌	 &#23244;
E5AB8D	5ACD				嫍	 &#23245;
E5AB8E	5ACE				嫎	 &#23246;
E5AB8F	5ACF		8FBAA4	443A24	嫏	 &#23247;
E5AB90	5AD0	9B6B	D5CC	554C	嫐	 &#23248;
E5AB91	5AD1				嫑	 &#23249;
E5AB92	5AD2				嫒	 &#23250;
E5AB93	5AD3				嫓	 &#23251;
E5AB94	5AD4				嫔	 &#23252;
E5AB95	5AD5				嫕	 &#23253;
E5AB96	5AD6	9B64	D5C5	5545	嫖	 &#23254;
E5AB97	5AD7	9B61	D5C2	5542	嫗	 &#23255;
E5AB98	5AD8				嫘	 &#23256;
E5AB99	5AD9				嫙	 &#23257;
E5AB9A	5ADA		8FBAA5	443A25	嫚	 &#23258;
E5AB9B	5ADB				嫛	 &#23259;
E5AB9C	5ADC		8FBAA6	443A26	嫜	 &#23260;
E5AB9D	5ADD				嫝	 &#23261;
E5AB9E	5ADE				嫞	 &#23262;
E5AB9F	5ADF				嫟	 &#23263;
E5ABA0	5AE0		8FBAA7	443A27	嫠	 &#23264;
E5ABA1	5AE1	9284	C3E4	4364	嫡	 &#23265;
E5ABA2	5AE2				嫢	 &#23266;
E5ABA3	5AE3	9B60	D5C1	5541	嫣	 &#23267;
E5ABA4	5AE4				嫤	 &#23268;
